"","species","decimalLongitude","decimalLatitude"
"496","Pteridium aquilinum",-121.669013,39.977133
"497","Pteridium aquilinum",-82.316681,27.712188
"498","Pteridium aquilinum",-87.176357,30.351642
"499","Pteridium aquilinum",-85.447472,46.087192
"500","Pteridium aquilinum",-122.060822,36.997322
"501","Pteridium aquilinum",-70.017586,41.2845
"502","Pteridium aquilinum",-123.951753,49.06862
"503","Pteridium aquilinum",-85.946376,46.287266
"504","Pteridium aquilinum",-92.094925,46.784733
"505","Pteridium aquilinum",-73.129044,44.491089
"506","Pteridium aquilinum",-122.480133,37.57337
"507","Pteridium aquilinum",-123.512846,48.544953
"508","Pteridium aquilinum",-82.473213,27.17051
"509","Pteridium aquilinum",-121.833558,36.593895
"510","Pteridium aquilinum",-82.29567,27.681567
"511","Pteridium aquilinum",-122.054117,37.041803
"512","Pteridium aquilinum",-82.475106,27.170519
"513","Pteridium aquilinum",-74.21041,46.02046
"514","Pteridium aquilinum",-88.704964,30.375789
"515","Pteridium aquilinum",-76.938553,37.029331
"516","Pteridium aquilinum",-75.292912,41.147016
"517","Pteridium aquilinum",-79.21667,45.33333
"518","Pteridium aquilinum",-88.13333,49.46667
"519","Pteridium aquilinum",-78.317631,38.945344
"520","Pteridium aquilinum",-82.13188,26.98682
"521","Pteridium aquilinum",-121.502975,36.760047
"522","Pteridium aquilinum",-123.946358,41.204026
"523","Pteridium aquilinum",-122.662042,47.095028
"524","Pteridium aquilinum",-78.577917,38.684119
"525","Pteridium aquilinum",-81.699683,26.048395
"526","Pteridium aquilinum",-89.483486,-0.892758
"527","Pteridium aquilinum",-84.008636,42.458436
"528","Pteridium aquilinum",-74.529035,39.497163
"529","Pteridium aquilinum",-87.066343,41.659927
"530","Pteridium aquilinum",-75.021668,39.277537
"531","Pteridium aquilinum",-80.167826,41.172258
"532","Pteridium aquilinum",-78.428453,43.117072
"533","Pteridium aquilinum",-79.069109,41.441333
"534","Pteridium aquilinum",-78.317075,38.945619
"535","Pteridium aquilinum",-123.648351,48.429686
"536","Pteridium aquilinum",-75.562043,45.426789
"537","Pteridium aquilinum",-76.709708,39.62225
"538","Pteridium aquilinum",-60.218992,46.147258
"539","Pteridium aquilinum",-85.943283,43.483669
"540","Pteridium aquilinum",-74.797638,44.154114
"541","Pteridium aquilinum",-82.45459,27.178492
"542","Pteridium aquilinum",-122.920495,47.028708
"543","Pteridium aquilinum",-122.951105,47.09252
"544","Pteridium aquilinum",-79.949478,40.856304
"545","Pteridium aquilinum",-121.966254,44.684535
"546","Pteridium aquilinum",-88.673963,45.957014
"547","Pteridium aquilinum",-122.533263,38.345983
"548","Pteridium aquilinum",-80.456467,41.252843
"549","Pteridium aquilinum",-81.34736,41.107502
"550","Pteridium aquilinum",-120.14101,34.48072
"551","Pteridium aquilinum",-121.456549,47.46651
"552","Pteridium aquilinum",-124.356827,49.289801
"553","Pteridium aquilinum",-75.756264,40.188402
"554","Pteridium aquilinum",-85.62293,43.26523
"555","Pteridium aquilinum",-88.612631,48.099252
"556","Pteridium aquilinum",-75.789461,40.239321
"557","Pteridium aquilinum",-73.767325,43.813555
"558","Pteridium aquilinum",-122.348944,44.398147
"559","Pteridium aquilinum",-83.617378,35.08442
"560","Pteridium aquilinum",-80.091842,39.517758
"561","Pteridium aquilinum",-80.045458,40.954257
"562","Pteridium aquilinum",-79.175133,40.120235
